DATE,ALL_SENDS,REMOTE_NOTIFICATION_RECEIVED,REMOTE_NOTIFICATION_DISPLAY,REMOTE_NOTIFICATION_OPEN
27.08.2022,0,0,0,3
28.08.2022,0,0,0,1
29.08.2022,0,0,0,0
30.08.2022,0,0,0,1
31.08.2022,4986,0,0,243
01.09.2022,0,0,0,5
02.09.2022,0,0,0,4
03.09.2022,0,0,0,3
04.09.2022,0,0,0,1
05.09.2022,0,0,0,1
06.09.2022,0,0,0,0
07.09.2022,0,0,0,0
08.09.2022,0,0,0,0
09.09.2022,0,0,0,0
10.09.2022,0,0,0,0
11.09.2022,0,0,0,0
12.09.2022,0,0,0,0
13.09.2022,0,0,0,0
14.09.2022,0,0,0,0
15.09.2022,0,0,0,0
16.09.2022,0,0,0,0
17.09.2022,0,0,0,0
18.09.2022,0,0,0,0
19.09.2022,0,0,0,0
20.09.2022,0,0,0,0
21.09.2022,0,0,0,0
22.09.2022,7162,0,0,211
23.09.2022,0,0,0,10
24.09.2022,0,0,0,7
25.09.2022,0,0,0,0
26.09.2022,0,0,0,2
27.09.2022,7480,0,0,305
28.09.2022,0,0,0,12
29.09.2022,0,0,0,3
30.09.2022,8128,0,0,114
01.10.2022,0,0,0,7
02.10.2022,0,0,0,4
03.10.2022,0,0,0,3
04.10.2022,8573,0,0,292
05.10.2022,0,0,0,8
06.10.2022,8687,0,0,348
07.10.2022,0,0,0,10
08.10.2022,0,0,0,3
09.10.2022,0,0,0,6
10.10.2022,0,0,0,4
11.10.2022,0,0,0,3
12.10.2022,0,0,0,0
13.10.2022,9309,0,0,281
14.10.2022,0,0,0,7
15.10.2022,0,0,0,2
16.10.2022,0,0,0,0
17.10.2022,0,0,0,1
18.10.2022,0,0,0,2
19.10.2022,0,0,0,3
20.10.2022,10017,0,0,316
21.10.2022,0,0,0,7
22.10.2022,0,0,0,2
23.10.2022,0,0,0,3
24.10.2022,0,0,0,3
25.10.2022,0,0,0,0
26.10.2022,0,0,0,2
27.10.2022,10658,0,0,241
28.10.2022,0,0,0,9
29.10.2022,0,0,0,4
30.10.2022,0,0,0,2
31.10.2022,0,0,0,3
01.11.2022,0,0,0,2
02.11.2022,0,0,0,0
03.11.2022,0,0,0,0
04.11.2022,0,0,0,0
05.11.2022,0,0,0,0
06.11.2022,0,0,0,0
07.11.2022,0,0,0,0
08.11.2022,0,0,0,0
09.11.2022,0,0,0,0
10.11.2022,0,0,0,0
11.11.2022,13515,0,0,464
12.11.2022,0,0,0,13
13.11.2022,13992,0,0,326
14.11.2022,0,0,0,14
15.11.2022,0,0,0,0
16.11.2022,0,0,0,0
17.11.2022,14352,0,0,440
18.11.2022,0,0,0,15
19.11.2022,0,0,0,3
20.11.2022,0,0,0,2
21.11.2022,0,0,0,1
22.11.2022,0,0,0,2
23.11.2022,0,0,0,1
24.11.2022,0,0,0,0